AnophelesalbimanusSTECLA.nb_genes	12616
AnophelesalbimanusSTECLA.nb_included_genes	668
AnophelesalbimanusSTECLA.nb_ncRNA_gene	252
AnophelesalbimanusSTECLA.nb_protein_coding_gene	11696
AnophelesalbimanusSTECLA.nb_noncoding_genes	252
AnophelesalbimanusSTECLA.nb_missing_coding_seq	0
AnophelesalbimanusSTECLA.nb_off_target_genes	109
AnophelesalbimanusSTECLA.nb_kept_genes	11587
AnophelesaquasalisidAnoAquaMGQ19.nb_genes	12989
AnophelesaquasalisidAnoAquaMGQ19.nb_included_genes	1196
AnophelesaquasalisidAnoAquaMGQ19.nb_ncRNA_gene	1193
AnophelesaquasalisidAnoAquaMGQ19.nb_protein_coding_gene	10501
AnophelesaquasalisidAnoAquaMGQ19.nb_pseudogene	99
AnophelesaquasalisidAnoAquaMGQ19.nb_noncoding_genes	1292
AnophelesaquasalisidAnoAquaMGQ19.nb_missing_coding_seq	62
AnophelesaquasalisidAnoAquaMGQ19.nb_off_target_genes	9975
AnophelesaquasalisidAnoAquaMGQ19.nb_kept_genes	464
AnophelesarabiensisDongola.nb_genes	13649
AnophelesarabiensisDongola.nb_included_genes	668
AnophelesarabiensisDongola.nb_ncRNA_gene	284
AnophelesarabiensisDongola.nb_protein_coding_gene	12697
AnophelesarabiensisDongola.nb_noncoding_genes	284
AnophelesarabiensisDongola.nb_missing_coding_seq	0
AnophelesarabiensisDongola.nb_off_target_genes	12697
AnophelesarabiensisDongola.nb_kept_genes	0
AnophelesatroparvusEBRO.nb_genes	14041
AnophelesatroparvusEBRO.nb_included_genes	888
AnophelesatroparvusEBRO.nb_ncRNA_gene	225
AnophelesatroparvusEBRO.nb_protein_coding_gene	12928
AnophelesatroparvusEBRO.nb_noncoding_genes	225
AnophelesatroparvusEBRO.nb_missing_coding_seq	1
AnophelesatroparvusEBRO.nb_off_target_genes	697
AnophelesatroparvusEBRO.nb_kept_genes	12230
AnopheleschristyiACHKN1017.nb_genes	11209
AnopheleschristyiACHKN1017.nb_included_genes	331
AnopheleschristyiACHKN1017.nb_ncRNA_gene	297
AnopheleschristyiACHKN1017.nb_protein_coding_gene	10581
AnopheleschristyiACHKN1017.nb_noncoding_genes	297
AnopheleschristyiACHKN1017.nb_missing_coding_seq	0
AnopheleschristyiACHKN1017.nb_off_target_genes	10581
AnopheleschristyiACHKN1017.nb_kept_genes	0
AnophelescoluzziiNgousso.nb_genes	13235
AnophelescoluzziiNgousso.nb_included_genes	900
AnophelescoluzziiNgousso.nb_ncRNA_gene	367
AnophelescoluzziiNgousso.nb_protein_coding_gene	11968
AnophelescoluzziiNgousso.nb_noncoding_genes	367
AnophelescoluzziiNgousso.nb_missing_coding_seq	0
AnophelescoluzziiNgousso.nb_off_target_genes	11968
AnophelescoluzziiNgousso.nb_kept_genes	0
AnophelescruziiidAnoCruzASRS3206.nb_genes	12401
AnophelescruziiidAnoCruzASRS3206.nb_included_genes	558
AnophelescruziiidAnoCruzASRS3206.nb_ncRNA_gene	356
AnophelescruziiidAnoCruzASRS3206.nb_protein_coding_gene	11384
AnophelescruziiidAnoCruzASRS3206.nb_pseudogene	103
AnophelescruziiidAnoCruzASRS3206.nb_noncoding_genes	459
AnophelescruziiidAnoCruzASRS3206.nb_missing_coding_seq	20
AnophelescruziiidAnoCruzASRS3206.nb_off_target_genes	10553
AnophelescruziiidAnoCruzASRS3206.nb_kept_genes	811
AnophelesculicifaciesA37.nb_genes	14729
AnophelesculicifaciesA37.nb_included_genes	534
AnophelesculicifaciesA37.nb_ncRNA_gene	302
AnophelesculicifaciesA37.nb_protein_coding_gene	13893
AnophelesculicifaciesA37.nb_noncoding_genes	302
AnophelesculicifaciesA37.nb_missing_coding_seq	0
AnophelesculicifaciesA37.nb_off_target_genes	13893
AnophelesculicifaciesA37.nb_kept_genes	0
AnophelesdarlingiCoari.nb_genes	11005
AnophelesdarlingiCoari.nb_included_genes	128
AnophelesdarlingiCoari.nb_ncRNA_gene	370
AnophelesdarlingiCoari.nb_protein_coding_gene	10507
AnophelesdarlingiCoari.nb_noncoding_genes	370
AnophelesdarlingiCoari.nb_missing_coding_seq	0
AnophelesdarlingiCoari.nb_off_target_genes	10507
AnophelesdarlingiCoari.nb_kept_genes	0
AnophelesdirusWRAIR2.nb_genes	13250
AnophelesdirusWRAIR2.nb_included_genes	568
AnophelesdirusWRAIR2.nb_ncRNA_gene	255
AnophelesdirusWRAIR2.nb_protein_coding_gene	12427
AnophelesdirusWRAIR2.nb_noncoding_genes	255
AnophelesdirusWRAIR2.nb_missing_coding_seq	1
AnophelesdirusWRAIR2.nb_off_target_genes	12426
AnophelesdirusWRAIR2.nb_kept_genes	0
AnophelesepiroticusEpiroticus2.nb_genes	12322
AnophelesepiroticusEpiroticus2.nb_included_genes	235
AnophelesepiroticusEpiroticus2.nb_ncRNA_gene	305
AnophelesepiroticusEpiroticus2.nb_protein_coding_gene	11782
AnophelesepiroticusEpiroticus2.nb_noncoding_genes	305
AnophelesepiroticusEpiroticus2.nb_missing_coding_seq	0
AnophelesepiroticusEpiroticus2.nb_off_target_genes	11782
AnophelesepiroticusEpiroticus2.nb_kept_genes	0
AnophelesfarautiFAR1.nb_genes	13293
AnophelesfarautiFAR1.nb_included_genes	769
AnophelesfarautiFAR1.nb_ncRNA_gene	273
AnophelesfarautiFAR1.nb_protein_coding_gene	12251
AnophelesfarautiFAR1.nb_noncoding_genes	273
AnophelesfarautiFAR1.nb_missing_coding_seq	0
AnophelesfarautiFAR1.nb_off_target_genes	12251
AnophelesfarautiFAR1.nb_kept_genes	0
AnophelesfunestusFUMOZ.nb_genes	14176
AnophelesfunestusFUMOZ.nb_included_genes	1222
AnophelesfunestusFUMOZ.nb_ncRNA_gene	961
AnophelesfunestusFUMOZ.nb_protein_coding_gene	11993
AnophelesfunestusFUMOZ.nb_noncoding_genes	961
AnophelesfunestusFUMOZ.nb_missing_coding_seq	0
AnophelesfunestusFUMOZ.nb_off_target_genes	10956
AnophelesfunestusFUMOZ.nb_kept_genes	1037
AnophelesgambiaePEST.nb_genes	13845
AnophelesgambiaePEST.nb_included_genes	919
AnophelesgambiaePEST.nb_ncRNA_gene	579
AnophelesgambiaePEST.nb_protein_coding_gene	12343
AnophelesgambiaePEST.nb_pseudogene	4
AnophelesgambiaePEST.nb_noncoding_genes	583
AnophelesgambiaePEST.nb_missing_coding_seq	0
AnophelesgambiaePEST.nb_off_target_genes	490
AnophelesgambiaePEST.nb_kept_genes	11853
Anophelesmaculatusmaculatus3.nb_genes	15035
Anophelesmaculatusmaculatus3.nb_included_genes	111
Anophelesmaculatusmaculatus3.nb_ncRNA_gene	159
Anophelesmaculatusmaculatus3.nb_protein_coding_gene	14765
Anophelesmaculatusmaculatus3.nb_noncoding_genes	159
Anophelesmaculatusmaculatus3.nb_missing_coding_seq	0
Anophelesmaculatusmaculatus3.nb_off_target_genes	14765
Anophelesmaculatusmaculatus3.nb_kept_genes	0
AnophelesmaculipalpisidAnoMacuDA375x.nb_genes	12929
AnophelesmaculipalpisidAnoMacuDA375x.nb_included_genes	7396
AnophelesmaculipalpisidAnoMacuDA375x.nb_ncRNA_gene	755
AnophelesmaculipalpisidAnoMacuDA375x.nb_protein_coding_gene	4544
AnophelesmaculipalpisidAnoMacuDA375x.nb_pseudogene	234
AnophelesmaculipalpisidAnoMacuDA375x.nb_noncoding_genes	989
AnophelesmaculipalpisidAnoMacuDA375x.nb_missing_coding_seq	3
AnophelesmaculipalpisidAnoMacuDA375x.nb_off_target_genes	4152
AnophelesmaculipalpisidAnoMacuDA375x.nb_kept_genes	389
AnophelesmelasCM1001059A.nb_genes	15777
AnophelesmelasCM1001059A.nb_included_genes	598
AnophelesmelasCM1001059A.nb_ncRNA_gene	349
AnophelesmelasCM1001059A.nb_protein_coding_gene	14830
AnophelesmelasCM1001059A.nb_noncoding_genes	349
AnophelesmelasCM1001059A.nb_missing_coding_seq	0
AnophelesmelasCM1001059A.nb_off_target_genes	14830
AnophelesmelasCM1001059A.nb_kept_genes	0
AnophelesmerusMAF.nb_genes	13578
AnophelesmerusMAF.nb_included_genes	805
AnophelesmerusMAF.nb_ncRNA_gene	333
AnophelesmerusMAF.nb_protein_coding_gene	12440
AnophelesmerusMAF.nb_noncoding_genes	333
AnophelesmerusMAF.nb_missing_coding_seq	1
AnophelesmerusMAF.nb_off_target_genes	12439
AnophelesmerusMAF.nb_kept_genes	0
AnophelesminimusMINIMUS1.nb_genes	13148
AnophelesminimusMINIMUS1.nb_included_genes	467
AnophelesminimusMINIMUS1.nb_ncRNA_gene	258
AnophelesminimusMINIMUS1.nb_protein_coding_gene	12423
AnophelesminimusMINIMUS1.nb_noncoding_genes	258
AnophelesminimusMINIMUS1.nb_missing_coding_seq	0
AnophelesminimusMINIMUS1.nb_off_target_genes	12423
AnophelesminimusMINIMUS1.nb_kept_genes	0
AnophelesmouchetiidAnoMoucSNF2007.nb_genes	14232
AnophelesmouchetiidAnoMoucSNF2007.nb_included_genes	1013
AnophelesmouchetiidAnoMoucSNF2007.nb_ncRNA_gene	1579
AnophelesmouchetiidAnoMoucSNF2007.nb_protein_coding_gene	11089
AnophelesmouchetiidAnoMoucSNF2007.nb_pseudogene	551
AnophelesmouchetiidAnoMoucSNF2007.nb_noncoding_genes	2130
AnophelesmouchetiidAnoMoucSNF2007.nb_missing_coding_seq	41
AnophelesmouchetiidAnoMoucSNF2007.nb_off_target_genes	10087
AnophelesmouchetiidAnoMoucSNF2007.nb_kept_genes	961
AnophelesquadriannulatusSANGWE.nb_genes	13818
AnophelesquadriannulatusSANGWE.nb_included_genes	671
AnophelesquadriannulatusSANGWE.nb_ncRNA_gene	311
AnophelesquadriannulatusSANGWE.nb_protein_coding_gene	12836
AnophelesquadriannulatusSANGWE.nb_noncoding_genes	311
AnophelesquadriannulatusSANGWE.nb_missing_coding_seq	0
AnophelesquadriannulatusSANGWE.nb_off_target_genes	12836
AnophelesquadriannulatusSANGWE.nb_kept_genes	0
AnophelessinensisSINENSIS.nb_genes	13206
AnophelessinensisSINENSIS.nb_included_genes	574
AnophelessinensisSINENSIS.nb_ncRNA_gene	248
AnophelessinensisSINENSIS.nb_protein_coding_gene	12384
AnophelessinensisSINENSIS.nb_noncoding_genes	248
AnophelessinensisSINENSIS.nb_missing_coding_seq	0
AnophelessinensisSINENSIS.nb_off_target_genes	12384
AnophelessinensisSINENSIS.nb_kept_genes	0
AnophelesstephensiSDA500.nb_genes	13611
AnophelesstephensiSDA500.nb_included_genes	371
AnophelesstephensiSDA500.nb_ncRNA_gene	228
AnophelesstephensiSDA500.nb_protein_coding_gene	13012
AnophelesstephensiSDA500.nb_noncoding_genes	228
AnophelesstephensiSDA500.nb_missing_coding_seq	0
AnophelesstephensiSDA500.nb_off_target_genes	13012
AnophelesstephensiSDA500.nb_kept_genes	0
